ridership,route,daytype,date,month_beginning,avg_weekday_rides,avg_saturday_rides,monthtotal,routename,avg_sunday_holiday_rides
21184,20,W,2001-01-03,2001-01-01,21570.3,12804.3,566683.0,Madison,8184.0
273,90N,W,2001-01-03,2001-01-01,318.9,98.7,7412.0,North Harlem,0.0
515,169,W,2001-01-04,2001-01-01,885.9,53.7,19704.0,69th-UPS Express,0.0
880,33,W,2001-01-05,2001-01-01,770.2,0.0,16944.0,Mag Mile Express,0.0
8511,152,W,2001-01-02,2001-01-01,10738.1,4457.2,265503.0,Addison,2287.1
21114,49,W,2001-01-04,2001-01-01,23732.1,20598.9,666662.0,Western,12432.2
1214,43,W,2001-01-05,2001-01-01,1351.0,679.3,34213.0,43rd,354.8
4096,73,W,2001-01-03,2001-01-01,4994.3,2688.6,127491.0,Armitage,1372.4
467,17,W,2001-01-05,2001-01-01,514.5,0.0,11319.0,Westchester,0.0
2100,103,W,2001-01-02,2001-01-01,3704.9,1564.8,93121.0,West 103rd,1071.0
7354,3,U,2001-01-01,2001-01-01,21406.5,13210.7,567413.0,King Drive,8725.3
1708,39,W,2001-01-02,2001-01-01,2249.6,0.0,49492.0,Pershing,0.0
2933,125,W,2001-01-03,2001-01-01,2690.8,0.0,59197.0,Water Tower Express,0.0
149,173,W,2001-01-03,2001-01-01,253.0,562.1,9088.0,U. of Chicago/Lakeview Express,254.6
666,100,W,2001-01-03,2001-01-01,1167.0,0.0,25673.0,Jeffery Manor Express,0.0
2540,155,U,2001-01-01,2001-01-01,7283.4,5229.9,198930.0,Devon,3555.3
6679,53A,W,2001-01-04,2001-01-01,9037.4,3198.0,218700.0,South Pulaski,1417.1
6048,6,U,2001-01-01,2001-01-01,18443.0,13088.2,493926.0,Jackson Park Express,7165.6
1251,106,W,2001-01-02,2001-01-01,2317.8,570.3,55265.0,East 103rd,398.4
7044,36,U,2001-01-01,2001-01-01,15360.0,13898.6,436950.0,Broadway,8687.4
2353,78,U,2001-01-01,2001-01-01,8891.8,5826.3,235297.0,Montrose,3274.2
8027,78,W,2001-01-02,2001-01-01,8891.8,5826.3,235297.0,Montrose,3274.2
1803,93,W,2001-01-03,2001-01-01,2228.0,1057.5,53246.0,California/Dodge,0.0
8479,147,W,2001-01-04,2001-01-01,8812.6,5443.1,215649.0,Outer Drive Express,0.0
601,100,W,2001-01-02,2001-01-01,1167.0,0.0,25673.0,Jeffery Manor Express,0.0
3137,112,W,2001-01-03,2001-01-01,3874.0,1439.3,95661.0,Vincennes/111th,935.1
11179,52,W,2001-01-04,2001-01-01,11592.4,8223.9,313490.0,Kedzie/California,5112.6
12428,55,W,2001-01-04,2001-01-01,12778.5,9126.4,350112.0,Garfield,6495.9
2971,30,W,2001-01-03,2001-01-01,3823.5,1960.2,95218.0,South Chicago,652.2
6487,50,W,2001-01-02,2001-01-01,8322.7,4419.7,213128.0,Damen,2470.1
2689,126,U,2001-01-01,2001-01-01,10129.2,4785.9,255239.0,Jackson,2650.5
257,171,W,2001-01-02,2001-01-01,864.9,413.2,21573.0,U. of Chicago/Hyde Park,178.3
8605,12,W,2001-01-02,2001-01-01,10763.5,6950.6,288055.0,Roosevelt,4691.0
5,290S,W,2001-01-02,2001-01-01,,,,,
402,17,W,2001-01-03,2001-01-01,514.5,0.0,11319.0,Westchester,0.0
7096,20,U,2001-01-01,2001-01-01,21570.3,12804.3,566683.0,Madison,8184.0
1233,96,W,2001-01-02,2001-01-01,1343.2,0.0,29550.0,Lunt,0.0
355,170,W,2001-01-03,2001-01-01,287.1,0.0,6315.0,U. of Chicago/Midway,0.0
70,25,W,2001-01-02,2001-01-01,144.8,0.0,3186.0,West Cermak,0.0
17872,8,W,2001-01-05,2001-01-01,19582.2,12420.0,521892.0,Halsted,8280.8
1564,81W,W,2001-01-02,2001-01-01,1577.3,837.2,39738.0,West Lawrence,337.6
3071,76,U,2001-01-01,2001-01-01,13254.3,8168.3,348404.0,Diversey,4827.2
713,112,U,2001-01-01,2001-01-01,3874.0,1439.3,95661.0,Vincennes/111th,935.1
8918,70,W,2001-01-03,2001-01-01,11102.5,7625.8,301077.0,Division,5264.0
24797,9,W,2001-01-02,2001-01-01,29265.4,22621.7,811006.0,Ashland,15336.1
9288,4,U,2001-01-01,2001-01-01,22432.2,17994.0,618796.0,Cottage Grove,10662.2
9303,29,U,2001-01-01,2001-01-01,16328.2,12511.5,451955.0,State,8537.9
1451,52A,U,2001-01-01,2001-01-01,5919.1,3596.1,154232.0,South Kedzie,1925.5
10984,55,W,2001-01-02,2001-01-01,12778.5,9126.4,350112.0,Garfield,6495.9
3703,84,W,2001-01-04,2001-01-01,4357.5,2418.1,111265.0,Peterson,1145.6
7320,78,W,2001-01-03,2001-01-01,8891.8,5826.3,235297.0,Montrose,3274.2
3567,59,W,2001-01-04,2001-01-01,4260.5,2222.6,102622.0,59th/61st,0.0
4684,X49,W,2001-01-04,2001-01-01,5131.8,0.0,112899.0,Western Express,0.0
10954,85,W,2001-01-03,2001-01-01,13188.5,8148.9,346996.0,Central,4850.7
6189,67,U,2001-01-01,2001-01-01,14219.5,9844.6,387336.0,67th-69th-71st,7025.6
1526,35,U,2001-01-01,2001-01-01,5977.7,3342.5,153931.0,35th,1810.1
4061,52,U,2001-01-01,2001-01-01,11592.4,8223.9,313490.0,Kedzie/California,5112.6
1523,18,W,2001-01-02,2001-01-01,1923.8,898.5,49130.0,16th/18th,642.3
1173,54A,W,2001-01-04,2001-01-01,1281.3,0.0,28188.0,North Cicero/Skokie Blvd.,0.0
2263,108,W,2001-01-04,2001-01-01,2928.1,0.0,64417.0,Halsted/95th,0.0
19117,63,W,2001-01-03,2001-01-01,21814.1,17120.8,605727.0,63rd,11466.5
2179,108,W,2001-01-03,2001-01-01,2928.1,0.0,64417.0,Halsted/95th,0.0
77,25,W,2001-01-03,2001-01-01,144.8,0.0,3186.0,West Cermak,0.0
3541,34,U,2001-01-01,2001-01-01,7911.6,5744.2,214933.0,South Michigan,3580.5
389,172,W,2001-01-02,2001-01-01,890.2,74.4,20116.0,U. of Chicago/Kenwood,46.6
6469,53A,W,2001-01-03,2001-01-01,9037.4,3198.0,218700.0,South Pulaski,1417.1
4803,60,U,2001-01-01,2001-01-01,13431.4,9929.4,366761.0,Blue Island/26th,6310.6
177,19,W,2001-01-03,2001-01-01,322.0,327.1,6273.0,United Center Express,368.4
25587,79,W,2001-01-03,2001-01-01,30018.4,23808.6,833507.0,79th,15573.7
2980,11,W,2001-01-05,2001-01-01,3448.7,1667.3,86887.0,Lincoln/Sedgwick,869.5
20680,22,W,2001-01-05,2001-01-01,21206.2,14634.5,577386.0,Clark,10462.2
14369,29,W,2001-01-04,2001-01-01,16328.2,12511.5,451955.0,State,8537.9
869,103,U,2001-01-01,2001-01-01,3704.9,1564.8,93121.0,West 103rd,1071.0
2424,57,W,2001-01-03,2001-01-01,3042.6,1412.8,75668.0,Laramie,616.1
2245,136,W,2001-01-04,2001-01-01,2055.4,0.0,45218.0,Sheridan/LaSalle Express,0.0
1208,96,W,2001-01-03,2001-01-01,1343.2,0.0,29550.0,Lunt,0.0
4675,54,U,2001-01-01,2001-01-01,12138.9,9536.3,334903.0,Cicero,5940.5
2122,63W,W,2001-01-04,2001-01-01,2196.4,720.5,53094.0,West 63rd,378.2
3188,11,W,2001-01-04,2001-01-01,3448.7,1667.3,86887.0,Lincoln/Sedgwick,869.5
5159,95W,W,2001-01-04,2001-01-01,5162.6,4526.5,144468.0,West 95th,2556.7
385,10,U,2001-01-01,2001-01-01,0.0,562.6,4115.0,Museum of S & I,372.9
3035,157,W,2001-01-02,2001-01-01,3315.2,0.0,72933.0,Streeterville/Taylor,0.0
742,33,W,2001-01-02,2001-01-01,770.2,0.0,16944.0,Mag Mile Express,0.0
1143,62H,W,2001-01-04,2001-01-01,1392.2,640.0,33189.0,Archer/Harlem,0.0
186,201,U,2001-01-01,2001-01-01,1275.3,615.9,31865.0,Central/Ridge,268.9
7840,94,W,2001-01-02,2001-01-01,10603.7,4792.6,269786.0,South California,3467.0
7823,47,W,2001-01-03,2001-01-01,8069.8,6422.7,220680.0,47th,3490.7
426,69,W,2001-01-02,2001-01-01,417.2,0.0,8761.0,Cumberland/East River,0.0
9613,52,W,2001-01-02,2001-01-01,11592.4,8223.9,313490.0,Kedzie/California,5112.6
2085,39,W,2001-01-04,2001-01-01,2249.6,0.0,49492.0,Pershing,0.0
3803,27,W,2001-01-02,2001-01-01,5629.5,2984.1,147904.0,South Deering,2423.6
2213,57,W,2001-01-02,2001-01-01,3042.6,1412.8,75668.0,Laramie,616.1
12450,81,W,2001-01-03,2001-01-01,14489.3,11561.8,402803.0,Lawrence,7558.0
381,129,W,2001-01-04,2001-01-01,792.7,0.0,17439.0,West Loop/South Loop,0.0
3013,157,W,2001-01-04,2001-01-01,3315.2,0.0,72933.0,Streeterville/Taylor,0.0
9845,28,W,2001-01-03,2001-01-01,11964.9,11269.6,336246.0,Stony Island,5587.8
4619,54B,W,2001-01-02,2001-01-01,4775.5,4468.6,134823.0,South Cicero,2377.5
6603,155,W,2001-01-04,2001-01-01,7283.4,5229.9,198930.0,Devon,3555.3
893,201,W,2001-01-04,2001-01-01,1275.3,615.9,31865.0,Central/Ridge,268.9
11749,87,W,2001-01-02,2001-01-01,15732.2,10389.7,415524.0,87th,5571.5
4099,74,U,2001-01-01,2001-01-01,12842.3,9858.6,351804.0,Fullerton,5968.0
4488,111,W,2001-01-02,2001-01-01,6074.4,3474.9,157849.0,Pullman/111th/115th,2062.4
9220,12,W,2001-01-03,2001-01-01,10763.5,6950.6,288055.0,Roosevelt,4691.0
6467,92,W,2001-01-03,2001-01-01,7414.5,4123.2,191196.0,Foster,2316.9
2011,136,W,2001-01-03,2001-01-01,2055.4,0.0,45218.0,Sheridan/LaSalle Express,0.0
1158,201,W,2001-01-03,2001-01-01,1275.3,615.9,31865.0,Central/Ridge,268.9
302,56A,W,2001-01-04,2001-01-01,568.5,0.0,11938.0,North Milwaukee,0.0
1870,91,U,2001-01-01,2001-01-01,8583.5,4415.0,218421.0,Austin,2384.8
11218,62,W,2001-01-02,2001-01-01,14926.0,6856.3,379135.0,Archer,4667.4
7731,145,W,2001-01-03,2001-01-01,8074.3,4110.5,203232.0,Wilson/Michigan Express,1831.2
4485,X49,W,2001-01-03,2001-01-01,5131.8,0.0,112899.0,Western Express,0.0
13516,56,W,2001-01-04,2001-01-01,14274.6,9160.4,381555.0,Milwaukee,6174.4
584,171,W,2001-01-04,2001-01-01,864.9,413.2,21573.0,U. of Chicago/Hyde Park,178.3
1105,33,W,2001-01-04,2001-01-01,770.2,0.0,16944.0,Mag Mile Express,0.0
12366,81,W,2001-01-02,2001-01-01,14489.3,11561.8,402803.0,Lawrence,7558.0
610,11,U,2001-01-01,2001-01-01,3448.7,1667.3,86887.0,Lincoln/Sedgwick,869.5
4857,95E,W,2001-01-03,2001-01-01,5787.1,4530.5,160511.0,93rd-95th,3014.3
3120,103,W,2001-01-03,2001-01-01,3704.9,1564.8,93121.0,West 103rd,1071.0
19366,66,W,2001-01-03,2001-01-01,21001.5,13332.8,557759.0,Chicago,8478.8
13977,36,W,2001-01-02,2001-01-01,15360.0,13898.6,436950.0,Broadway,8687.4
3391,30,W,2001-01-04,2001-01-01,3823.5,1960.2,95218.0,South Chicago,652.2
12428,74,W,2001-01-04,2001-01-01,12842.3,9858.6,351804.0,Fullerton,5968.0
1353,86,W,2001-01-02,2001-01-01,1831.2,0.0,40287.0,Narragansett/Ridgeland,0.0
3144,103,W,2001-01-04,2001-01-01,3704.9,1564.8,93121.0,West 103rd,1071.0
19379,63,W,2001-01-04,2001-01-01,21814.1,17120.8,605727.0,63rd,11466.5
2159,119,U,2001-01-01,2001-01-01,5171.2,4747.3,147205.0,Michigan/119th,2890.1
541,33,W,2001-01-03,2001-01-01,770.2,0.0,16944.0,Mag Mile Express,0.0
6404,91,W,2001-01-03,2001-01-01,8583.5,4415.0,218421.0,Austin,2384.8
521,169,W,2001-01-03,2001-01-01,885.9,53.7,19704.0,69th-UPS Express,0.0
1047,203,W,2001-01-02,2001-01-01,1593.3,0.0,35053.0,Ridge/Grant,0.0
375,18,U,2001-01-01,2001-01-01,1923.8,898.5,49130.0,16th/18th,642.3
12039,60,W,2001-01-03,2001-01-01,13431.4,9929.4,366761.0,Blue Island/26th,6310.6
3588,84,W,2001-01-02,2001-01-01,4357.5,2418.1,111265.0,Peterson,1145.6
25393,9,W,2001-01-03,2001-01-01,29265.4,22621.7,811006.0,Ashland,15336.1
8278,126,W,2001-01-04,2001-01-01,10129.2,4785.9,255239.0,Jackson,2650.5
316,63W,U,2001-01-01,2001-01-01,2196.4,720.5,53094.0,West 63rd,378.2
8058,53,U,2001-01-01,2001-01-01,21726.0,15984.4,589242.0,Pulaski,9466.2
69,173,U,2001-01-01,2001-01-01,253.0,562.1,9088.0,U. of Chicago/Lakeview Express,254.6
1008,8A,U,2001-01-01,2001-01-01,3196.5,3006.6,89030.0,South Halsted,1336.2
2743,8A,W,2001-01-03,2001-01-01,3196.5,3006.6,89030.0,South Halsted,1336.2
15628,77,W,2001-01-02,2001-01-01,19856.3,12733.9,529774.0,Belmont,8400.0
1137,62H,W,2001-01-02,2001-01-01,1392.2,640.0,33189.0,Archer/Harlem,0.0
656,56A,W,2001-01-02,2001-01-01,568.5,0.0,11938.0,North Milwaukee,0.0
3312,24,W,2001-01-05,2001-01-01,3893.4,0.0,85655.0,Wentworth,0.0
8254,47,W,2001-01-04,2001-01-01,8069.8,6422.7,220680.0,47th,3490.7
1903,27,U,2001-01-01,2001-01-01,5629.5,2984.1,147904.0,South Deering,2423.6
18195,3,W,2001-01-03,2001-01-01,21406.5,13210.7,567413.0,King Drive,8725.3
1223,88,W,2001-01-02,2001-01-01,1721.8,650.3,43101.0,Higgins,523.9
11569,54,W,2001-01-04,2001-01-01,12138.9,9536.3,334903.0,Cicero,5940.5
4295,70,U,2001-01-01,2001-01-01,11102.5,7625.8,301077.0,Division,5264.0
11034,76,W,2001-01-02,2001-01-01,13254.3,8168.3,348404.0,Diversey,4827.2
6211,71,W,2001-01-04,2001-01-01,7136.7,5565.3,194863.0,71st/South Shore,3119.0
4994,52A,W,2001-01-03,2001-01-01,5919.1,3596.1,154232.0,South Kedzie,1925.5
11829,49,U,2001-01-01,2001-01-01,23732.1,20598.9,666662.0,Western,12432.2
2191,146,U,2001-01-01,2001-01-01,9355.1,5362.4,242849.0,Inner Drive/Michigan Express,3117.4
19558,22,W,2001-01-02,2001-01-01,21206.2,14634.5,577386.0,Clark,10462.2
3810,119,W,2001-01-03,2001-01-01,5171.2,4747.3,147205.0,Michigan/119th,2890.1
21221,3,W,2001-01-05,2001-01-01,21406.5,13210.7,567413.0,King Drive,8725.3
6155,75,W,2001-01-03,2001-01-01,7081.7,4725.3,188676.0,74th-75th,2795.5
2417,135,W,2001-01-04,2001-01-01,2621.3,0.0,57669.0,Clarendon/LaSalle Express,0.0
1791,81W,W,2001-01-03,2001-01-01,1577.3,837.2,39738.0,West Lawrence,337.6
1287,68,W,2001-01-04,2001-01-01,1579.5,608.1,38614.0,Northwest Highway,286.5
2676,47,U,2001-01-01,2001-01-01,8069.8,6422.7,220680.0,47th,3490.7
5812,82,U,2001-01-01,2001-01-01,19622.7,11451.6,511235.0,Kimball-Homan,6745.8
936,121,W,2001-01-02,2001-01-01,1210.6,0.0,26633.0,Union/Wacker Express,0.0
1151,62H,W,2001-01-03,2001-01-01,1392.2,640.0,33189.0,Archer/Harlem,0.0
5109,95E,W,2001-01-02,2001-01-01,5787.1,4530.5,160511.0,93rd-95th,3014.3
1694,92,U,2001-01-01,2001-01-01,7414.5,4123.2,191196.0,Foster,2316.9
4730,119,W,2001-01-04,2001-01-01,5171.2,4747.3,147205.0,Michigan/119th,2890.1
311,43,U,2001-01-01,2001-01-01,1351.0,679.3,34213.0,43rd,354.8
1379,145,U,2001-01-01,2001-01-01,8074.3,4110.5,203232.0,Wilson/Michigan Express,1831.2
19000,4,W,2001-01-02,2001-01-01,22432.2,17994.0,618796.0,Cottage Grove,10662.2
6809,1,W,2001-01-03,2001-01-01,6982.6,0.0,153617.0,Indiana/Hyde Park,0.0
1571,49B,U,2001-01-01,2001-01-01,5087.6,3065.0,133958.0,North Western,1954.1
1346,203,W,2001-01-03,2001-01-01,1593.3,0.0,35053.0,Ridge/Grant,0.0
19424,3,W,2001-01-04,2001-01-01,21406.5,13210.7,567413.0,King Drive,8725.3
4577,87,U,2001-01-01,2001-01-01,15732.2,10389.7,415524.0,87th,5571.5
1305,106,W,2001-01-03,2001-01-01,2317.8,570.3,55265.0,East 103rd,398.4
7087,77,U,2001-01-01,2001-01-01,19856.3,12733.9,529774.0,Belmont,8400.0
14423,82,W,2001-01-02,2001-01-01,19622.7,11451.6,511235.0,Kimball-Homan,6745.8
1049,54A,W,2001-01-02,2001-01-01,1281.3,0.0,28188.0,North Cicero/Skokie Blvd.,0.0
857,55N,W,2001-01-02,2001-01-01,1071.8,164.4,24237.0,55th/Narragansett,0.0
283,90N,W,2001-01-04,2001-01-01,318.9,98.7,7412.0,North Harlem,0.0
2686,30,W,2001-01-02,2001-01-01,3823.5,1960.2,95218.0,South Chicago,652.2
1136,201,W,2001-01-02,2001-01-01,1275.3,615.9,31865.0,Central/Ridge,268.9
8946,14,W,2001-01-04,2001-01-01,8484.3,0.0,186655.0,Jeffery Express,0.0
4456,119,W,2001-01-02,2001-01-01,5171.2,4747.3,147205.0,Michigan/119th,2890.1
15147,36,W,2001-01-04,2001-01-01,15360.0,13898.6,436950.0,Broadway,8687.4
956,43,W,2001-01-02,2001-01-01,1351.0,679.3,34213.0,43rd,354.8
9272,146,W,2001-01-02,2001-01-01,9355.1,5362.4,242849.0,Inner Drive/Michigan Express,3117.4
1204,86,W,2001-01-04,2001-01-01,1831.2,0.0,40287.0,Narragansett/Ridgeland,0.0
403,56A,W,2001-01-03,2001-01-01,568.5,0.0,11938.0,North Milwaukee,0.0
1256,123,W,2001-01-03,2001-01-01,886.2,0.0,19495.0,Illinois Center/Union Express,0.0
1832,50,U,2001-01-01,2001-01-01,8322.7,4419.7,213128.0,Damen,2470.1
786,48,W,2001-01-03,2001-01-01,1120.6,0.0,24654.0,South Damen,0.0
6483,7,W,2001-01-04,2001-01-01,5504.4,0.0,121097.0,Harrison,0.0
16697,3,W,2001-01-02,2001-01-01,21406.5,13210.7,567413.0,King Drive,8725.3
22647,151,W,2001-01-03,2001-01-01,23604.8,14136.3,634324.0,Sheridan,11694.7
3794,95W,W,2001-01-03,2001-01-01,5162.6,4526.5,144468.0,West 95th,2556.7
26970,9,W,2001-01-04,2001-01-01,29265.4,22621.7,811006.0,Ashland,15336.1
1124,43,W,2001-01-03,2001-01-01,1351.0,679.3,34213.0,43rd,354.8
923,73,U,2001-01-01,2001-01-01,4994.3,2688.6,127491.0,Armitage,1372.4
15243,29,W,2001-01-03,2001-01-01,16328.2,12511.5,451955.0,State,8537.9
14352,62,W,2001-01-04,2001-01-01,14926.0,6856.3,379135.0,Archer,4667.4
15904,6,W,2001-01-02,2001-01-01,18443.0,13088.2,493926.0,Jackson Park Express,7165.6
322,170,W,2001-01-04,2001-01-01,287.1,0.0,6315.0,U. of Chicago/Midway,0.0
164,173,W,2001-01-02,2001-01-01,253.0,562.1,9088.0,U. of Chicago/Lakeview Express,254.6
744,100,W,2001-01-04,2001-01-01,1167.0,0.0,25673.0,Jeffery Manor Express,0.0
1734,152,U,2001-01-01,2001-01-01,10738.1,4457.2,265503.0,Addison,2287.1
7900,66,U,2001-01-01,2001-01-01,21001.5,13332.8,557759.0,Chicago,8478.8
792,172,W,2001-01-04,2001-01-01,890.2,74.4,20116.0,U. of Chicago/Kenwood,46.6
1961,37,W,2001-01-02,2001-01-01,2500.6,0.0,55014.0,Sedgwick,0.0
5778,53A,W,2001-01-02,2001-01-01,9037.4,3198.0,218700.0,South Pulaski,1417.1
10881,80,W,2001-01-03,2001-01-01,11837.8,8077.1,319117.0,Irving Park,5275.2
376,17,W,2001-01-02,2001-01-01,514.5,0.0,11319.0,Westchester,0.0
1289,203,W,2001-01-04,2001-01-01,1593.3,0.0,35053.0,Ridge/Grant,0.0
9218,70,W,2001-01-02,2001-01-01,11102.5,7625.8,301077.0,Division,5264.0
16642,82,W,2001-01-04,2001-01-01,19622.7,11451.6,511235.0,Kimball-Homan,6745.8
5813,1,W,2001-01-02,2001-01-01,6982.6,0.0,153617.0,Indiana/Hyde Park,0.0
10676,28,W,2001-01-04,2001-01-01,11964.9,11269.6,336246.0,Stony Island,5587.8
232,25,W,2001-01-05,2001-01-01,144.8,0.0,3186.0,West Cermak,0.0
14144,56,W,2001-01-03,2001-01-01,14274.6,9160.4,381555.0,Milwaukee,6174.4
5461,56,U,2001-01-01,2001-01-01,14274.6,9160.4,381555.0,Milwaukee,6174.4
1640,54B,U,2001-01-01,2001-01-01,4775.5,4468.6,134823.0,South Cicero,2377.5
5503,52A,W,2001-01-04,2001-01-01,5919.1,3596.1,154232.0,South Kedzie,1925.5
2522,71,U,2001-01-01,2001-01-01,7136.7,5565.3,194863.0,71st/South Shore,3119.0
665,123,W,2001-01-04,2001-01-01,886.2,0.0,19495.0,Illinois Center/Union Express,0.0
10394,67,W,2001-01-02,2001-01-01,14219.5,9844.6,387336.0,67th-69th-71st,7025.6
1507,111,U,2001-01-01,2001-01-01,6074.4,3474.9,157849.0,Pullman/111th/115th,2062.4
775,55N,W,2001-01-04,2001-01-01,1071.8,164.4,24237.0,55th/Narragansett,0.0
4434,73,W,2001-01-04,2001-01-01,4994.3,2688.6,127491.0,Armitage,1372.4
7689,91,W,2001-01-04,2001-01-01,8583.5,4415.0,218421.0,Austin,2384.8
4855,49B,W,2001-01-04,2001-01-01,5087.6,3065.0,133958.0,North Western,1954.1
5752,95E,W,2001-01-04,2001-01-01,5787.1,4530.5,160511.0,93rd-95th,3014.3
16796,6,W,2001-01-04,2001-01-01,18443.0,13088.2,493926.0,Jackson Park Express,7165.6
322,202,W,2001-01-03,2001-01-01,480.1,0.0,10563.0,Main/Emerson,0.0
4678,49B,W,2001-01-03,2001-01-01,5087.6,3065.0,133958.0,North Western,1954.1
959,122,W,2001-01-04,2001-01-01,1122.9,0.0,24705.0,Illinois Center/Ogilvie Express,0.0
2063,37,W,2001-01-05,2001-01-01,2500.6,0.0,55014.0,Sedgwick,0.0
10097,70,W,2001-01-04,2001-01-01,11102.5,7625.8,301077.0,Division,5264.0
15,171,U,2001-01-01,2001-01-01,864.9,413.2,21573.0,U. of Chicago/Hyde Park,178.3
541,57,U,2001-01-01,2001-01-01,3042.6,1412.8,75668.0,Laramie,616.1
7337,21,W,2001-01-03,2001-01-01,7423.7,7747.2,218216.0,Cermak,4781.0
21861,151,W,2001-01-02,2001-01-01,23604.8,14136.3,634324.0,Sheridan,11694.7
14868,72,W,2001-01-03,2001-01-01,15417.4,11359.3,418889.0,North,6853.7
10139,12,W,2001-01-05,2001-01-01,10763.5,6950.6,288055.0,Roosevelt,4691.0
4535,7,W,2001-01-05,2001-01-01,5504.4,0.0,121097.0,Harrison,0.0
17033,77,W,2001-01-03,2001-01-01,19856.3,12733.9,529774.0,Belmont,8400.0
