daytype,ridership,date,route,month_beginning,routename,avg_saturday_rides,avg_sunday_holiday_rides,monthtotal,avg_weekday_rides
W,5932,2001-01-02,71,2001-01-01,71st/South Shore,5565.3,3119.0,194863.0,7136.7
W,2445,2001-01-03,37,2001-01-01,Sedgwick,0.0,0.0,55014.0,2500.6
W,25393,2001-01-03,9,2001-01-01,Ashland,22621.7,15336.1,811006.0,29265.4
W,403,2001-01-03,56A,2001-01-01,North Milwaukee,0.0,0.0,11938.0,568.5
W,4096,2001-01-03,73,2001-01-01,Armitage,2688.6,1372.4,127491.0,4994.3
W,2777,2001-01-04,112,2001-01-01,Vincennes/111th,1439.3,935.1,95661.0,3874.0
W,21114,2001-01-04,49,2001-01-01,Western,20598.9,12432.2,666662.0,23732.1
U,923,2001-01-01,73,2001-01-01,Armitage,2688.6,1372.4,127491.0,4994.3
W,19299,2001-01-03,53,2001-01-01,Pulaski,15984.4,9466.2,589242.0,21726.0
W,631,2001-01-05,2,2001-01-01,Hyde Park Express,0.0,0.0,22001.0,1000.0
U,7087,2001-01-01,77,2001-01-01,Belmont,12733.9,8400.0,529774.0,19856.3
W,1523,2001-01-02,18,2001-01-01,16th/18th,898.5,642.3,49130.0,1923.8
W,19628,2001-01-04,66,2001-01-01,Chicago,13332.8,8478.8,557759.0,21001.5
W,2929,2001-01-02,97,2001-01-01,Skokie,2066.7,1167.5,95096.0,3681.4
U,1463,2001-01-01,44,2001-01-01,Wallace-Racine,2696.0,1564.6,162910.0,6559.2
W,6524,2001-01-02,65,2001-01-01,Grand,3173.9,1805.7,169020.0,6695.3
U,1526,2001-01-01,35,2001-01-01,35th,3342.5,1810.1,153931.0,5977.7
U,2484,2001-01-01,75,2001-01-01,74th-75th,4725.3,2795.5,188676.0,7081.7
W,6121,2001-01-02,145,2001-01-01,Wilson/Michigan Express,4110.5,1831.2,203232.0,8074.3
W,5159,2001-01-04,95W,2001-01-01,West 95th,4526.5,2556.7,144468.0,5162.6
W,8858,2001-01-04,146,2001-01-01,Inner Drive/Michigan Express,5362.4,3117.4,242849.0,9355.1
W,759,2001-01-02,122,2001-01-01,Illinois Center/Ogilvie Express,0.0,0.0,24705.0,1122.9
U,843,2001-01-01,84,2001-01-01,Peterson,2418.1,1145.6,111265.0,4357.5
W,786,2001-01-03,48,2001-01-01,South Damen,0.0,0.0,24654.0,1120.6
W,3803,2001-01-02,27,2001-01-01,South Deering,2984.1,2423.6,147904.0,5629.5
U,311,2001-01-01,43,2001-01-01,43rd,679.3,354.8,34213.0,1351.0
W,9845,2001-01-03,28,2001-01-01,Stony Island,11269.6,5587.8,336246.0,11964.9
W,14423,2001-01-02,82,2001-01-01,Kimball-Homan,11451.6,6745.8,511235.0,19622.7
W,7731,2001-01-03,145,2001-01-01,Wilson/Michigan Express,4110.5,1831.2,203232.0,8074.3
W,221,2001-01-02,170,2001-01-01,U. of Chicago/Midway,0.0,0.0,6315.0,287.1
W,13977,2001-01-02,36,2001-01-01,Broadway,13898.6,8687.4,436950.0,15360.0
W,753,2001-01-04,48,2001-01-01,South Damen,0.0,0.0,24654.0,1120.6
W,1831,2001-01-04,81W,2001-01-01,West Lawrence,837.2,337.6,39738.0,1577.3
W,17914,2001-01-02,20,2001-01-01,Madison,12804.3,8184.0,566683.0,21570.3
W,8918,2001-01-03,70,2001-01-01,Division,7625.8,5264.0,301077.0,11102.5
W,19558,2001-01-02,22,2001-01-01,Clark,14634.5,10462.2,577386.0,21206.2
U,2540,2001-01-01,94,2001-01-01,South California,4792.6,3467.0,269786.0,10603.7
W,5813,2001-01-02,1,2001-01-01,Indiana/Hyde Park,0.0,0.0,153617.0,6982.6
W,3510,2001-01-03,90,2001-01-01,Harlem,3002.1,1382.3,104289.0,3880.4
U,3678,2001-01-01,12,2001-01-01,Roosevelt,6950.6,4691.0,288055.0,10763.5
W,2417,2001-01-04,135,2001-01-01,Clarendon/LaSalle Express,0.0,0.0,57669.0,2621.3
W,629,2001-01-02,2,2001-01-01,Hyde Park Express,0.0,0.0,22001.0,1000.0
W,8399,2001-01-04,78,2001-01-01,Montrose,5826.3,3274.2,235297.0,8891.8
W,14868,2001-01-03,72,2001-01-01,North,11359.3,6853.7,418889.0,15417.4
U,7354,2001-01-01,3,2001-01-01,King Drive,13210.7,8725.3,567413.0,21406.5
W,2100,2001-01-02,103,2001-01-01,West 103rd,1564.8,1071.0,93121.0,3704.9
W,16656,2001-01-05,29,2001-01-01,State,12511.5,8537.9,451955.0,16328.2
W,13997,2001-01-02,29,2001-01-01,State,12511.5,8537.9,451955.0,16328.2
U,4355,2001-01-01,62,2001-01-01,Archer,6856.3,4667.4,379135.0,14926.0
W,6063,2001-01-03,65,2001-01-01,Grand,3173.9,1805.7,169020.0,6695.3
W,223,2001-01-02,90N,2001-01-01,North Harlem,98.7,0.0,7412.0,318.9
W,6679,2001-01-04,53A,2001-01-01,South Pulaski,3198.0,1417.1,218700.0,9037.4
W,6467,2001-01-03,92,2001-01-01,Foster,4123.2,2316.9,191196.0,7414.5
W,2011,2001-01-03,136,2001-01-01,Sheridan/LaSalle Express,0.0,0.0,45218.0,2055.4
W,6539,2001-01-04,92,2001-01-01,Foster,4123.2,2316.9,191196.0,7414.5
W,10676,2001-01-04,28,2001-01-01,Stony Island,11269.6,5587.8,336246.0,11964.9
U,408,2001-01-01,88,2001-01-01,Higgins,650.3,523.9,43101.0,1721.8
W,1336,2001-01-04,106,2001-01-01,East 103rd,570.3,398.4,55265.0,2317.8
W,744,2001-01-04,100,2001-01-01,Jeffery Manor Express,0.0,0.0,25673.0,1167.0
W,19366,2001-01-03,66,2001-01-01,Chicago,13332.8,8478.8,557759.0,21001.5
W,21679,2001-01-05,4,2001-01-01,Cottage Grove,17994.0,10662.2,618796.0,22432.2
W,4535,2001-01-05,7,2001-01-01,Harrison,0.0,0.0,121097.0,5504.4
U,1640,2001-01-01,54B,2001-01-01,South Cicero,4468.6,2377.5,134823.0,4775.5
W,338,2001-01-03,49A,2001-01-01,South Western,0.0,0.0,7332.0,333.3
W,11900,2001-01-02,74,2001-01-01,Fullerton,9858.6,5968.0,351804.0,12842.3
W,19286,2001-01-03,22,2001-01-01,Clark,14634.5,10462.2,577386.0,21206.2
W,6483,2001-01-04,7,2001-01-01,Harrison,0.0,0.0,121097.0,5504.4
U,3071,2001-01-01,76,2001-01-01,Diversey,8168.3,4827.2,348404.0,13254.3
W,1039,2001-01-03,122,2001-01-01,Illinois Center/Ogilvie Express,0.0,0.0,24705.0,1122.9
W,1201,2001-01-05,18,2001-01-01,16th/18th,898.5,642.3,49130.0,1923.8
W,11825,2001-01-02,80,2001-01-01,Irving Park,8077.1,5275.2,319117.0,11837.8
W,15896,2001-01-05,36,2001-01-01,Broadway,13898.6,8687.4,436950.0,15360.0
W,6154,2001-01-05,1,2001-01-01,Indiana/Hyde Park,0.0,0.0,153617.0,6982.6
W,2935,2001-01-02,125,2001-01-01,Water Tower Express,0.0,0.0,59197.0,2690.8
W,8027,2001-01-02,78,2001-01-01,Montrose,5826.3,3274.2,235297.0,8891.8
W,7635,2001-01-03,126,2001-01-01,Jackson,4785.9,2650.5,255239.0,10129.2
W,1214,2001-01-05,43,2001-01-01,43rd,679.3,354.8,34213.0,1351.0
W,4923,2001-01-02,35,2001-01-01,35th,3342.5,1810.1,153931.0,5977.7
U,9303,2001-01-01,29,2001-01-01,State,12511.5,8537.9,451955.0,16328.2
W,3588,2001-01-02,84,2001-01-01,Peterson,2418.1,1145.6,111265.0,4357.5
W,1124,2001-01-03,43,2001-01-01,43rd,679.3,354.8,34213.0,1351.0
W,661,2001-01-03,172,2001-01-01,U. of Chicago/Kenwood,74.4,46.6,20116.0,890.2
W,21221,2001-01-04,20,2001-01-01,Madison,12804.3,8184.0,566683.0,21570.3
W,6211,2001-01-04,71,2001-01-01,71st/South Shore,5565.3,3119.0,194863.0,7136.7
W,3703,2001-01-04,84,2001-01-01,Peterson,2418.1,1145.6,111265.0,4357.5
W,8511,2001-01-02,152,2001-01-01,Addison,4457.2,2287.1,265503.0,10738.1
U,6048,2001-01-01,6,2001-01-01,Jackson Park Express,13088.2,7165.6,493926.0,18443.0
W,8946,2001-01-04,14,2001-01-01,Jeffery Express,0.0,0.0,186655.0,8484.3
W,27047,2001-01-04,79,2001-01-01,79th,23808.6,15573.7,833507.0,30018.4
U,541,2001-01-01,57,2001-01-01,Laramie,1412.8,616.1,75668.0,3042.6
W,6603,2001-01-04,155,2001-01-01,Devon,5229.9,3555.3,198930.0,7283.4
W,1924,2001-01-04,93,2001-01-01,California/Dodge,1057.5,0.0,53246.0,2228.0
W,5497,2001-01-04,35,2001-01-01,35th,3342.5,1810.1,153931.0,5977.7
W,2804,2001-01-02,135,2001-01-01,Clarendon/LaSalle Express,0.0,0.0,57669.0,2621.3
W,19361,2001-01-02,49,2001-01-01,Western,20598.9,12432.2,666662.0,23732.1
U,4577,2001-01-01,87,2001-01-01,87th,10389.7,5571.5,415524.0,15732.2
W,1842,2001-01-02,63W,2001-01-01,West 63rd,720.5,378.2,53094.0,2196.4
W,1849,2001-01-04,88,2001-01-01,Higgins,650.3,523.9,43101.0,1721.8
W,959,2001-01-04,122,2001-01-01,Illinois Center/Ogilvie Express,0.0,0.0,24705.0,1122.9
U,869,2001-01-01,103,2001-01-01,West 103rd,1564.8,1071.0,93121.0,3704.9
U,11829,2001-01-01,49,2001-01-01,Western,20598.9,12432.2,666662.0,23732.1
U,713,2001-01-01,112,2001-01-01,Vincennes/111th,1439.3,935.1,95661.0,3874.0
U,15,2001-01-01,171,2001-01-01,U. of Chicago/Hyde Park,413.2,178.3,21573.0,864.9
W,8278,2001-01-04,126,2001-01-01,Jackson,4785.9,2650.5,255239.0,10129.2
W,4619,2001-01-02,54B,2001-01-01,South Cicero,4468.6,2377.5,134823.0,4775.5
W,10046,2001-01-02,54,2001-01-01,Cicero,9536.3,5940.5,334903.0,12138.9
W,14486,2001-01-03,82,2001-01-01,Kimball-Homan,11451.6,6745.8,511235.0,19622.7
W,403,2001-01-04,202,2001-01-01,Main/Emerson,0.0,0.0,10563.0,480.1
W,775,2001-01-04,55N,2001-01-01,55th/Narragansett,164.4,0.0,24237.0,1071.8
U,4803,2001-01-01,60,2001-01-01,Blue Island/26th,9929.4,6310.6,366761.0,13431.4
W,10984,2001-01-02,55,2001-01-01,Garfield,9126.4,6495.9,350112.0,12778.5
W,7823,2001-01-03,47,2001-01-01,47th,6422.7,3490.7,220680.0,8069.8
U,1451,2001-01-01,52A,2001-01-01,South Kedzie,3596.1,1925.5,154232.0,5919.1
W,161,2001-01-04,127,2001-01-01,Madison/Roosevelt Circulator,0.0,0.0,5410.0,245.9
W,3120,2001-01-03,103,2001-01-01,West 103rd,1564.8,1071.0,93121.0,3704.9
W,9138,2001-01-04,156,2001-01-01,LaSalle,0.0,0.0,198859.0,9039.1
W,1095,2001-01-04,121,2001-01-01,Union/Wacker Express,0.0,0.0,26633.0,1210.6
W,17033,2001-01-03,77,2001-01-01,Belmont,12733.9,8400.0,529774.0,19856.3
W,3735,2001-01-02,X49,2001-01-01,Western Express,0.0,0.0,112899.0,5131.8
W,7689,2001-01-04,91,2001-01-01,Austin,4415.0,2384.8,218421.0,8583.5
W,16893,2001-01-03,8,2001-01-01,Halsted,12420.0,8280.8,521892.0,19582.2
W,9404,2001-01-04,94,2001-01-01,South California,4792.6,3467.0,269786.0,10603.7
U,5461,2001-01-01,56,2001-01-01,Milwaukee,9160.4,6174.4,381555.0,14274.6
U,5805,2001-01-01,55,2001-01-01,Garfield,9126.4,6495.9,350112.0,12778.5
W,1204,2001-01-04,86,2001-01-01,Narragansett/Ridgeland,0.0,0.0,40287.0,1831.2
U,9882,2001-01-01,151,2001-01-01,Sheridan,14136.3,11694.7,634324.0,23604.8
W,18968,2001-01-04,53,2001-01-01,Pulaski,15984.4,9466.2,589242.0,21726.0
W,15147,2001-01-04,36,2001-01-01,Broadway,13898.6,8687.4,436950.0,15360.0
W,6790,2001-01-03,155,2001-01-01,Devon,5229.9,3555.3,198930.0,7283.4
W,10139,2001-01-05,12,2001-01-01,Roosevelt,6950.6,4691.0,288055.0,10763.5
W,3567,2001-01-04,59,2001-01-01,59th/61st,2222.6,0.0,102622.0,4260.5
W,13157,2001-01-02,56,2001-01-01,Milwaukee,9160.4,6174.4,381555.0,14274.6
W,985,2001-01-03,204,2001-01-01,Dodge,0.0,0.0,31798.0,1445.4
W,9218,2001-01-02,70,2001-01-01,Division,7625.8,5264.0,301077.0,11102.5
W,6326,2001-01-03,71,2001-01-01,71st/South Shore,5565.3,3119.0,194863.0,7136.7
U,5128,2001-01-01,72,2001-01-01,North,11359.3,6853.7,418889.0,15417.4
W,456,2001-01-02,19,2001-01-01,United Center Express,327.1,368.4,6273.0,322.0
W,15243,2001-01-03,29,2001-01-01,State,12511.5,8537.9,451955.0,16328.2
W,14130,2001-01-03,36,2001-01-01,Broadway,13898.6,8687.4,436950.0,15360.0
W,5488,2001-01-02,75,2001-01-01,74th-75th,4725.3,2795.5,188676.0,7081.7
W,353,2001-01-03,64,2001-01-01,Foster-Canfield,0.0,0.0,7419.0,337.2
W,3391,2001-01-04,30,2001-01-01,South Chicago,1960.2,652.2,95218.0,3823.5
W,584,2001-01-04,171,2001-01-01,U. of Chicago/Hyde Park,413.2,178.3,21573.0,864.9
U,1752,2001-01-01,51,2001-01-01,51st,3675.0,2169.4,127952.0,4654.8
W,6445,2001-01-04,34,2001-01-01,South Michigan,5744.2,3580.5,214933.0,7911.6
W,16642,2001-01-04,82,2001-01-01,Kimball-Homan,11451.6,6745.8,511235.0,19622.7
W,1365,2001-01-03,121,2001-01-01,Union/Wacker Express,0.0,0.0,26633.0,1210.6
U,1008,2001-01-01,8A,2001-01-01,South Halsted,3006.6,1336.2,89030.0,3196.5
U,2353,2001-01-01,78,2001-01-01,Montrose,5826.3,3274.2,235297.0,8891.8
U,3418,2001-01-01,95E,2001-01-01,93rd-95th,4530.5,3014.3,160511.0,5787.1
W,1353,2001-01-02,86,2001-01-01,Narragansett/Ridgeland,0.0,0.0,40287.0,1831.2
W,742,2001-01-02,33,2001-01-01,Mag Mile Express,0.0,0.0,16944.0,770.2
U,600,2001-01-01,30,2001-01-01,South Chicago,1960.2,652.2,95218.0,3823.5
U,2522,2001-01-01,71,2001-01-01,71st/South Shore,5565.3,3119.0,194863.0,7136.7
W,305,2001-01-04,19,2001-01-01,United Center Express,327.1,368.4,6273.0,322.0
W,4456,2001-01-02,119,2001-01-01,Michigan/119th,4747.3,2890.1,147205.0,5171.2
W,1791,2001-01-03,81W,2001-01-01,West Lawrence,837.2,337.6,39738.0,1577.3
W,10954,2001-01-03,85,2001-01-01,Central,8148.9,4850.7,346996.0,13188.5
W,4988,2001-01-04,54B,2001-01-01,South Cicero,4468.6,2377.5,134823.0,4775.5
W,3557,2001-01-02,59,2001-01-01,59th/61st,2222.6,0.0,102622.0,4260.5
W,3052,2001-01-05,30,2001-01-01,South Chicago,1960.2,652.2,95218.0,3823.5
W,3312,2001-01-05,24,2001-01-01,Wentworth,0.0,0.0,85655.0,3893.4
W,848,2001-01-02,129,2001-01-01,West Loop/South Loop,0.0,0.0,17439.0,792.7
W,467,2001-01-05,17,2001-01-01,Westchester,0.0,0.0,11319.0,514.5
W,6497,2001-01-02,14,2001-01-01,Jeffery Express,0.0,0.0,186655.0,8484.3
W,828,2001-01-04,85A,2001-01-01,North Central,148.7,0.0,21550.0,952.5
W,149,2001-01-03,173,2001-01-01,U. of Chicago/Lakeview Express,562.1,254.6,9088.0,253.0
W,1289,2001-01-04,203,2001-01-01,Ridge/Grant,0.0,0.0,35053.0,1593.3
W,4507,2001-01-03,7,2001-01-01,Harrison,0.0,0.0,121097.0,5504.4
W,22647,2001-01-03,151,2001-01-01,Sheridan,14136.3,11694.7,634324.0,23604.8
W,279,2001-01-04,49A,2001-01-01,South Western,0.0,0.0,7332.0,333.3
W,10401,2001-01-03,54,2001-01-01,Cicero,9536.3,5940.5,334903.0,12138.9
W,1305,2001-01-03,106,2001-01-01,East 103rd,570.3,398.4,55265.0,2317.8
W,1223,2001-01-02,88,2001-01-01,Higgins,650.3,523.9,43101.0,1721.8
W,5559,2001-01-02,91,2001-01-01,Austin,4415.0,2384.8,218421.0,8583.5
W,7689,2001-01-03,152,2001-01-01,Addison,4457.2,2287.1,265503.0,10738.1
W,3083,2001-01-04,125,2001-01-01,Water Tower Express,0.0,0.0,59197.0,2690.8
W,10654,2001-01-04,80,2001-01-01,Irving Park,8077.1,5275.2,319117.0,11837.8
W,3137,2001-01-03,112,2001-01-01,Vincennes/111th,1439.3,935.1,95661.0,3874.0
W,9009,2001-01-03,94,2001-01-01,South California,4792.6,3467.0,269786.0,10603.7
W,1925,2001-01-03,39,2001-01-01,Pershing,0.0,0.0,49492.0,2249.6
W,24965,2001-01-02,79,2001-01-01,79th,23808.6,15573.7,833507.0,30018.4
W,742,2001-01-03,129,2001-01-01,West Loop/South Loop,0.0,0.0,17439.0,792.7
W,402,2001-01-03,17,2001-01-01,Westchester,0.0,0.0,11319.0,514.5
U,9288,2001-01-01,4,2001-01-01,Cottage Grove,17994.0,10662.2,618796.0,22432.2
W,2138,2001-01-04,18,2001-01-01,16th/18th,898.5,642.3,49130.0,1923.8
W,3215,2001-01-03,11,2001-01-01,Lincoln/Sedgwick,1667.3,869.5,86887.0,3448.7
W,1049,2001-01-02,54A,2001-01-01,North Cicero/Skokie Blvd.,0.0,0.0,28188.0,1281.3
W,5144,2001-01-03,27,2001-01-01,South Deering,2984.1,2423.6,147904.0,5629.5
W,2059,2001-01-05,39,2001-01-01,Pershing,0.0,0.0,49492.0,2249.6
W,9364,2001-01-04,12,2001-01-01,Roosevelt,6950.6,4691.0,288055.0,10763.5
W,6404,2001-01-03,91,2001-01-01,Austin,4415.0,2384.8,218421.0,8583.5
W,945,2001-01-04,96,2001-01-01,Lunt,0.0,0.0,29550.0,1343.2
W,12039,2001-01-03,60,2001-01-01,Blue Island/26th,9929.4,6310.6,366761.0,13431.4
W,652,2001-01-03,2,2001-01-01,Hyde Park Express,0.0,0.0,22001.0,1000.0
W,3440,2001-01-02,51,2001-01-01,51st,3675.0,2169.4,127952.0,4654.8
W,3013,2001-01-04,157,2001-01-01,Streeterville/Taylor,0.0,0.0,72933.0,3315.2
W,7909,2001-01-05,34,2001-01-01,South Michigan,5744.2,3580.5,214933.0,7911.6
U,2676,2001-01-01,47,2001-01-01,47th,6422.7,3490.7,220680.0,8069.8
W,3450,2001-01-03,84,2001-01-01,Peterson,2418.1,1145.6,111265.0,4357.5
W,2743,2001-01-03,8A,2001-01-01,South Halsted,3006.6,1336.2,89030.0,3196.5
U,7044,2001-01-01,36,2001-01-01,Broadway,13898.6,8687.4,436950.0,15360.0
W,27956,2001-01-05,9,2001-01-01,Ashland,22621.7,15336.1,811006.0,29265.4
W,4485,2001-01-03,X49,2001-01-01,Western Express,0.0,0.0,112899.0,5131.8
W,405,2001-01-02,169,2001-01-01,69th-UPS Express,53.7,0.0,19704.0,885.9
W,12751,2001-01-02,60,2001-01-01,Blue Island/26th,9929.4,6310.6,366761.0,13431.4
W,4297,2001-01-02,49B,2001-01-01,North Western,3065.0,1954.1,133958.0,5087.6
W,1256,2001-01-03,123,2001-01-01,Illinois Center/Union Express,0.0,0.0,19495.0,886.2
W,8479,2001-01-04,147,2001-01-01,Outer Drive Express,5443.1,0.0,215649.0,8812.6
U,5726,2001-01-01,81,2001-01-01,Lawrence,11561.8,7558.0,402803.0,14489.3
W,11218,2001-01-02,62,2001-01-01,Archer,6856.3,4667.4,379135.0,14926.0
W,12366,2001-01-02,81,2001-01-01,Lawrence,11561.8,7558.0,402803.0,14489.3
W,5089,2001-01-02,34,2001-01-01,South Michigan,5744.2,3580.5,214933.0,7911.6
U,4061,2001-01-01,52,2001-01-01,Kedzie/California,8223.9,5112.6,313490.0,11592.4
W,21184,2001-01-03,20,2001-01-01,Madison,12804.3,8184.0,566683.0,21570.3
W,18195,2001-01-03,3,2001-01-01,King Drive,13210.7,8725.3,567413.0,21406.5
W,1143,2001-01-04,62H,2001-01-01,Archer/Harlem,640.0,0.0,33189.0,1392.2
W,837,2001-01-04,2,2001-01-01,Hyde Park Express,0.0,0.0,22001.0,1000.0
W,2506,2001-01-03,18,2001-01-01,16th/18th,898.5,642.3,49130.0,1923.8
W,1708,2001-01-02,39,2001-01-01,Pershing,0.0,0.0,49492.0,2249.6
W,1287,2001-01-04,68,2001-01-01,Northwest Highway,608.1,286.5,38614.0,1579.5
U,316,2001-01-01,63W,2001-01-01,West 63rd,720.5,378.2,53094.0,2196.4
W,857,2001-01-02,55N,2001-01-01,55th/Narragansett,164.4,0.0,24237.0,1071.8
W,14369,2001-01-04,29,2001-01-01,State,12511.5,8537.9,451955.0,16328.2
W,13299,2001-01-03,87,2001-01-01,87th,10389.7,5571.5,415524.0,15732.2
W,376,2001-01-02,17,2001-01-01,Westchester,0.0,0.0,11319.0,514.5
W,9283,2001-01-03,156,2001-01-01,LaSalle,0.0,0.0,198859.0,9039.1
W,4563,2001-01-03,111,2001-01-01,Pullman/111th/115th,3474.9,2062.4,157849.0,6074.4
W,257,2001-01-02,171,2001-01-01,U. of Chicago/Hyde Park,413.2,178.3,21573.0,864.9
W,273,2001-01-03,90N,2001-01-01,North Harlem,98.7,0.0,7412.0,318.9
W,18853,2001-01-03,4,2001-01-01,Cottage Grove,17994.0,10662.2,618796.0,22432.2
W,5,2001-01-02,290S,2001-01-01,,,,,
U,819,2001-01-01,90,2001-01-01,Harlem,3002.1,1382.3,104289.0,3880.4
W,1564,2001-01-02,81W,2001-01-01,West Lawrence,837.2,337.6,39738.0,1577.3
W,9836,2001-01-02,85,2001-01-01,Central,8148.9,4850.7,346996.0,13188.5
W,3810,2001-01-03,119,2001-01-01,Michigan/119th,4747.3,2890.1,147205.0,5171.2
W,26970,2001-01-04,9,2001-01-01,Ashland,22621.7,15336.1,811006.0,29265.4
U,69,2001-01-01,173,2001-01-01,U. of Chicago/Lakeview Express,562.1,254.6,9088.0,253.0
W,7320,2001-01-03,78,2001-01-01,Montrose,5826.3,3274.2,235297.0,8891.8
W,8605,2001-01-02,12,2001-01-01,Roosevelt,6950.6,4691.0,288055.0,10763.5
W,11749,2001-01-02,87,2001-01-01,87th,10389.7,5571.5,415524.0,15732.2
W,5109,2001-01-02,95E,2001-01-01,93rd-95th,4530.5,3014.3,160511.0,5787.1
W,22725,2001-01-04,151,2001-01-01,Sheridan,14136.3,11694.7,634324.0,23604.8
W,1462,2001-01-02,136,2001-01-01,Sheridan/LaSalle Express,0.0,0.0,45218.0,2055.4
W,209,2001-01-04,69,2001-01-01,Cumberland/East River,0.0,0.0,8761.0,417.2
U,8058,2001-01-01,53,2001-01-01,Pulaski,15984.4,9466.2,589242.0,21726.0
W,6834,2001-01-02,47,2001-01-01,47th,6422.7,3490.7,220680.0,8069.8
W,691,2001-01-02,120,2001-01-01,Ogilvie/Wacker Express,0.0,0.0,13982.0,635.5
W,10394,2001-01-02,67,2001-01-01,67th-69th-71st,9844.6,7025.6,387336.0,14219.5
